,Consumo_estimado,Fonte,Potência_Instalada,Potência_painel,area_modulos,n_modulos,peso_sistema,preco_max,preco_min
0,100kWh,NeoSolar,0.43 kWp,215.0,3.03,2.0,41.16,4506.22,2946.38
1,110kWh,NeoSolar,0.52 kWp,260.0,3.64,2.0,49.4,5407.47,3535.65
2,120kWh,NeoSolar,0.61 kWp,305.0,4.25,2.0,57.63,6308.71,4124.93
3,130kWh,NeoSolar,0.69 kWp,230.0,4.85,3.0,65.86,7209.96,4714.2
4,140kWh,NeoSolar,0.78 kWp,260.0,5.46,3.0,74.09,8111.2,5303.48
5,150kWh,NeoSolar,0.87 kWp,290.0,6.07,3.0,82.33,9012.44,5892.75
6,160kWh,NeoSolar,0.95 kWp,316.6666666666667,6.67,3.0,90.56,9913.69,6482.03
7,170kWh,NeoSolar,1.04 kWp,260.0,7.28,4.0,98.79,10814.93,7071.3
8,180kWh,NeoSolar,1.13 kWp,282.5,7.89,4.0,107.02,11716.18,7660.58
9,190kWh,NeoSolar,1.21 kWp,302.5,8.49,4.0,115.26,12617.42,8249.85
10,200kWh,NeoSolar,1.30 kWp,260.0,9.1,5.0,123.49,13518.67,8839.13
11,210kWh,NeoSolar,1.39 kWp,278.0,9.71,5.0,131.72,14419.91,9428.4
12,220kWh,NeoSolar,1.47 kWp,294.0,10.31,5.0,139.95,15321.15,10017.68
13,230kWh,NeoSolar,1.56 kWp,260.0,10.92,6.0,148.19,16222.4,10606.95
14,240kWh,NeoSolar,1.65 kWp,275.0,11.53,6.0,156.42,17123.64,11196.23
15,250kWh,NeoSolar,1.73 kWp,288.3333333333333,12.13,6.0,164.65,18024.89,11785.5
16,260kWh,NeoSolar,1.82 kWp,260.0,12.74,7.0,172.88,18926.13,12374.78
17,270kWh,NeoSolar,1.91 kWp,272.85714285714283,13.35,7.0,181.12,19827.38,12964.05
18,280kWh,NeoSolar,1.99 kWp,284.2857142857143,13.95,7.0,189.35,20728.62,13553.33
19,290kWh,NeoSolar,2.08 kWp,260.0,14.56,8.0,197.58,15598.46,13518.67
20,300kWh,NeoSolar,2.17 kWp,271.25,15.17,8.0,205.81,16248.4,14081.94
21,310kWh,NeoSolar,2.25 kWp,281.25,15.77,8.0,214.05,16898.33,14645.22
22,320kWh,NeoSolar,2.34 kWp,260.0,16.38,9.0,222.28,17548.27,15208.5
23,330kWh,NeoSolar,2.43 kWp,270.0,16.98,9.0,230.51,18198.2,15771.78
24,340kWh,NeoSolar,2.51 kWp,278.8888888888889,17.59,9.0,238.74,18848.14,16335.05
25,350kWh,NeoSolar,2.60 kWp,288.8888888888889,18.2,9.0,246.98,19498.08,16898.33
26,360kWh,NeoSolar,2.69 kWp,269.0,18.8,10.0,255.21,20148.01,17461.61
27,370kWh,NeoSolar,2.77 kWp,277.0,19.41,10.0,263.44,20797.95,18024.89
28,380kWh,NeoSolar,2.86 kWp,286.0,20.02,10.0,271.67,21447.88,18588.17
29,390kWh,NeoSolar,2.95 kWp,268.1818181818182,20.62,11.0,279.91,22097.82,19151.44
30,400kWh,NeoSolar,3.03 kWp,275.45454545454544,21.23,11.0,288.14,20018.02,16075.08
31,410kWh,NeoSolar,3.12 kWp,283.6363636363636,21.84,11.0,296.37,20589.97,16534.37
32,420kWh,NeoSolar,3.21 kWp,267.5,22.44,12.0,304.6,21161.91,16993.66
33,430kWh,NeoSolar,3.29 kWp,274.1666666666667,23.05,12.0,312.84,21733.86,17452.94
34,440kWh,NeoSolar,3.38 kWp,281.6666666666667,23.66,12.0,321.07,22305.8,17912.23
35,450kWh,NeoSolar,3.47 kWp,266.9230769230769,24.26,13.0,329.3,22877.74,18371.52
36,460kWh,NeoSolar,3.55 kWp,273.0769230769231,24.87,13.0,337.53,23449.69,18830.81
